evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
81 km al N de San Pedro de Atacama,-22.231 ,-67.939,2024-09-26,20:58:32,2024-09-26,23:58:32,209,km,2.8,Ml
20 km al N de Mejillones,-22.918 ,-70.419,2024-09-26,20:16:59,2024-09-26,23:16:59,45,km,3.7,Ml
24 km al SE de Linares,-36.040 ,-71.496,2024-09-26,19:54:42,2024-09-26,22:54:42,93,km,3.3,Ml
57 km al NE de Calama,-22.009 ,-68.686,2024-09-26,16:22:36,2024-09-26,19:22:36,120,km,3.4,Ml
32 km al NE de Alto del Carmen,-28.532 ,-70.285,2024-09-26,15:50:20,2024-09-26,18:50:20,95,km,2.9,Ml
46 km al NE de Pica,-20.189 ,-69.034,2024-09-26,14:19:59,2024-09-26,17:19:59,99,km,2.5,Ml
19 km al E de Pica,-20.480 ,-69.146,2024-09-26,07:40:38,2024-09-26,10:40:38,88,km,2.6,Ml
66 km al SO de Patache,-21.231 ,-70.651,2024-09-26,03:09:34,2024-09-26,06:09:34,17,km,3.0,Ml
27 km al NO de Tocopilla,-21.935 ,-70.395,2024-09-26,00:39:11,2024-09-26,03:39:11,18,km,3.0,Ml
11 km al O de Alto del Carmen,-28.757 ,-70.602,2024-09-25,21:40:36,2024-09-26,00:40:36,104,km,3.9,Ml
