evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
55 km al SE de Putre,-18.646 ,-69.339,2024-02-20,16:35:59,2024-02-20,19:35:59,125,km,2.9,Ml
27 km al S de Mina Collahuasi,-21.053 ,-68.750,2024-02-20,15:54:22,2024-02-20,18:54:22,122,km,2.8,Ml
60 km al NE de Calama,-22.027 ,-68.604,2024-02-20,15:22:53,2024-02-20,18:22:53,112,km,2.7,Ml
26 km al S de CamiÃ±a,-19.547 ,-69.429,2024-02-20,13:45:04,2024-02-20,16:45:04,86,km,2.7,Ml
18 km al E de Tongoy,-30.223 ,-71.309,2024-02-20,11:12:39,2024-02-20,14:12:39,55,km,2.6,Ml
33 km al O de OllagÃ¼e,-21.145 ,-68.557,2024-02-20,10:31:11,2024-02-20,13:31:11,128,km,2.9,Ml
21 km al O de Curarrehue,-39.282 ,-71.806,2024-02-20,09:56:36,2024-02-20,12:56:36,19,km,1.6,Ml
11 km al O de Punitaqui,-30.850 ,-71.373,2024-02-20,08:59:11,2024-02-20,11:59:11,50,km,3.2,Ml
29 km al E de Quillota,-32.914 ,-70.941,2024-02-20,07:39:44,2024-02-20,10:39:44,75,km,3.5,Ml
57 km al SO de Huasco,-28.948 ,-71.432,2024-02-20,06:51:17,2024-02-20,09:51:17,46,km,2.9,Ml
62 km al SO de Alto Hospicio,-20.675 ,-70.514,2024-02-20,05:51:03,2024-02-20,08:51:03,34,km,3.1,Ml
35 km al S de Mina Collahuasi,-21.127 ,-68.757,2024-02-20,04:44:24,2024-02-20,07:44:24,100,km,2.8,Ml
36 km al SO de Mina Collahuasi,-21.127 ,-68.791,2024-02-20,04:44:10,2024-02-20,07:44:10,104,km,2.5,Ml
18 km al SE de San JosÃ© de Maipo,-33.783 ,-70.259,2024-02-20,01:54:31,2024-02-20,04:54:31,123,km,3.0,Ml
49 km al N de CamiÃ±a,-18.873 ,-69.380,2024-02-20,00:52:01,2024-02-20,03:52:01,107,km,3.8,Ml
29 km al S de Santiago,-33.701 ,-70.664,2024-02-19,22:56:22,2024-02-20,01:56:22,31,km,3.1,Ml
47 km al SO de OllagÃ¼e,-21.605 ,-68.454,2024-02-19,22:09:24,2024-02-20,01:09:24,120,km,3.0,Ml
