evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
86 km al NE de Socaire,-23.077 ,-67.263,2024-02-27,20:15:26,2024-02-27,23:15:26,227,km,2.6,Ml
93 km al SE de Mina La Escondida.,-24.719 ,-68.282,2024-02-27,20:12:53,2024-02-27,23:12:53,162,km,2.5,Ml
42 km al SO de Mina Collahuasi,-21.046 ,-68.988,2024-02-27,18:27:26,2024-02-27,21:27:26,110,km,3.7,Ml
39 km al NO de ValparaÃ­so,-32.739 ,-71.814,2024-02-27,17:13:04,2024-02-27,20:13:04,16,km,3.6,Ml
107 km al SE de Socaire,-24.437 ,-67.385,2024-02-27,15:08:32,2024-02-27,18:08:32,178,km,4.1,Ml
36 km al O de Castro,-42.382 ,-74.185,2024-02-27,14:10:05,2024-02-27,17:10:05,32,km,2.8,Ml
35 km al N de Huasco,-28.152 ,-71.248,2024-02-27,11:10:46,2024-02-27,14:10:46,29,km,4.1,Ml
13 km al S de San Fernando,-34.697 ,-71.004,2024-02-27,10:07:10,2024-02-27,13:07:10,24,km,2.5,Ml
52 km al SO de Huasco,-28.873 ,-71.474,2024-02-27,09:52:37,2024-02-27,12:52:37,43,km,2.7,Ml
79 km al NE de San Pedro de Atacama,-22.306 ,-67.818,2024-02-27,09:39:28,2024-02-27,12:39:28,214,km,3.1,Ml
33 km al O de Calama,-22.530 ,-69.245,2024-02-27,09:07:43,2024-02-27,12:07:43,86,km,2.5,Ml
27 km al NO de Visviri,-17.409 ,-69.641,2024-02-27,08:34:00,2024-02-27,11:34:00,165,km,3.2,Ml
42 km al NE de Calama,-22.188 ,-68.665,2024-02-27,07:38:13,2024-02-27,10:38:13,115,km,2.7,Ml
20 km al NE de Calama,-22.376 ,-68.760,2024-02-27,06:39:26,2024-02-27,09:39:26,112,km,3.0,Ml
76 km al E de Socaire,-23.581 ,-67.145,2024-02-27,05:43:44,2024-02-27,08:43:44,245,km,3.6,Ml
95 km al E de Socaire,-23.858 ,-67.000,2024-02-27,05:38:51,2024-02-27,08:38:51,252,km,4.1,Ml
10 km al SE de La Higuera,-29.587 ,-71.148,2024-02-27,04:53:24,2024-02-27,07:53:24,48,km,2.6,Ml
164 km al O de ToltÃ©n,-39.260 ,-75.067,2024-02-27,04:04:52,2024-02-27,07:04:52,17,km,2.7,Ml
147 km al SE de Tierra Amarilla,-28.267 ,-69.068,2024-02-27,03:48:44,2024-02-27,06:48:44,14,km,2.6,Ml
54 km al SO de Los Vilos,-32.275 ,-71.885,2024-02-27,03:14:57,2024-02-27,06:14:57,31,km,2.7,Ml
17 km al E de CuricÃ³,-35.006 ,-71.056,2024-02-27,01:43:19,2024-02-27,04:43:19,105,km,4.0,Ml
35 km al S de Mina Collahuasi,-21.139 ,-68.669,2024-02-27,01:12:38,2024-02-27,04:12:38,129,km,2.8,Ml
42 km al SO de Huasco,-28.779 ,-71.468,2024-02-27,00:47:54,2024-02-27,03:47:54,40,km,2.5,Ml
180 km al O de TirÃºa,-38.464 ,-75.548,2024-02-26,21:26:08,2024-02-27,00:26:08,10,km,2.9,Ml
