evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
24 km al SE de Putre,-18.296 ,-69.358,2023-10-01,20:15:44,2023-10-01,23:15:44,117,km,2.9,Ml
71 km al SE de Socaire,-23.921 ,-67.289,2023-10-01,19:13:11,2023-10-01,22:13:11,240,km,4.4,Ml
107 km al NO de Huasco,-27.629 ,-71.762,2023-10-01,19:02:52,2023-10-01,22:02:52,44,km,2.6,Ml
47 km al SE de CuricÃ³,-35.308 ,-70.908,2023-10-01,18:10:12,2023-10-01,21:10:12,107,km,3.2,Ml
96 km al E de San FabiÃ¡n,-36.172 ,-70.596,2023-10-01,13:16:36,2023-10-01,16:16:36,190,km,3.2,Ml
57 km al N de Vallenar,-28.068 ,-70.677,2023-10-01,10:48:42,2023-10-01,13:48:42,60,km,3.2,Ml
26 km al O de Punitaqui,-30.921 ,-71.508,2023-10-01,07:40:04,2023-10-01,10:40:04,72,km,2.7,Ml
53 km al E de Socaire,-23.734 ,-67.399,2023-10-01,07:35:53,2023-10-01,10:35:53,226,km,3.6,Ml
51 km al S de Pica,-20.927 ,-69.174,2023-10-01,00:52:38,2023-10-01,03:52:38,106,km,2.6,Ml
50 km al N de Tocopilla,-21.652 ,-70.294,2023-10-01,00:40:03,2023-10-01,03:40:03,27,km,3.5,Ml
28 km al NE de Calama,-22.293 ,-68.735,2023-10-01,00:28:14,2023-10-01,03:28:14,129,km,3.0,Ml
13 km al O de Laja,-37.254 ,-72.863,2023-09-30,23:38:39,2023-10-01,02:38:39,47,km,3.2,Ml
