evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
48 km al SO de Mina Collahuasi,-21.085 ,-69.022,2023-07-09,19:23:41,2023-07-09,23:23:41,110,km,3.5,Ml
19 km al SE de San Fernando,-34.744 ,-70.911,2023-07-09,18:16:05,2023-07-09,22:16:05,102,km,2.8,Ml
17 km al O de Andacollo,-30.213 ,-71.262,2023-07-09,18:04:10,2023-07-09,22:04:10,58,km,4.1,Ml
80 km al E de Socaire,-23.822 ,-67.148,2023-07-09,13:43:47,2023-07-09,17:43:47,248,km,2.8,Ml
44 km al E de Talca,-35.488 ,-71.189,2023-07-09,13:34:48,2023-07-09,17:34:48,106,km,3.3,Ml
15 km al NO de Farellones,-33.224 ,-70.379,2023-07-09,13:15:48,2023-07-09,17:15:48,105,km,2.9,Ml
15 km al N de Farellones,-33.222 ,-70.271,2023-07-09,13:11:33,2023-07-09,17:11:33,110,km,5.6,Mww
45 km al S de CamiÃ±a,-19.711 ,-69.379,2023-07-09,12:43:12,2023-07-09,16:43:12,97,km,2.9,Ml
47 km al SO de Mina Collahuasi,-21.117 ,-68.987,2023-07-09,11:26:49,2023-07-09,15:26:49,114,km,2.5,Ml
68 km al E de Socaire,-23.787 ,-67.257,2023-07-09,08:43:35,2023-07-09,12:43:35,231,km,2.8,Ml
131 km al O de Antofagasta,-23.765 ,-71.687,2023-07-09,07:40:55,2023-07-09,11:40:55,35,km,2.8,Ml
33 km al SE de La Ligua,-32.617 ,-70.939,2023-07-09,06:35:12,2023-07-09,10:35:12,74,km,2.6,Ml
53 km al S de Socaire,-24.048 ,-67.748,2023-07-09,06:03:48,2023-07-09,10:03:48,223,km,3.4,Ml
48 km al SO de Mina Collahuasi,-21.202 ,-68.886,2023-07-09,05:43:55,2023-07-09,09:43:55,107,km,2.5,Ml
30 km al S de Mina Collahuasi,-21.089 ,-68.707,2023-07-09,05:13:07,2023-07-09,09:13:07,105,km,2.8,Ml
16 km al NE de Calama,-22.378 ,-68.804,2023-07-09,05:00:44,2023-07-09,09:00:44,112,km,3.2,Ml
78 km al S de Socaire,-24.282 ,-67.742,2023-07-09,04:46:00,2023-07-09,08:46:00,211,km,2.8,Ml
48 km al NO de Valdivia,-39.539 ,-73.680,2023-07-09,04:24:02,2023-07-09,08:24:02,13,km,2.6,Ml
31 km al O de Sierra Gorda.,-23.005 ,-69.596,2023-07-09,03:37:41,2023-07-09,07:37:41,68,km,2.8,Ml
10 km al SE de Calama,-22.509 ,-68.847,2023-07-09,01:14:41,2023-07-09,05:14:41,135,km,3.3,Ml
17 km al NO de Canela Baja,-31.288 ,-71.576,2023-07-09,00:49:19,2023-07-09,04:49:19,65,km,2.9,Ml
32 km al S de Pica,-20.773 ,-69.288,2023-07-08,23:51:32,2023-07-09,03:51:32,104,km,3.1,Ml
40 km al O de OllagÃ¼e,-21.280 ,-68.633,2023-07-08,22:29:59,2023-07-09,02:29:59,110,km,2.6,Ml
24 km al SO de Calama,-22.666 ,-69.031,2023-07-08,21:10:16,2023-07-09,01:10:16,79,km,2.8,Ml
64 km al SE de Socaire,-23.885 ,-67.345,2023-07-08,21:01:08,2023-07-09,01:01:08,235,km,3.0,Ml
