evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
20 km al N de CopiapÃ³,-27.189 ,-70.295,2023-07-20,17:50:24,2023-07-20,21:50:24,101,km,2.7,Ml
34 km al NO de Mina Collahuasi,-20.574 ,-68.834,2023-07-20,16:05:53,2023-07-20,20:05:53,118,km,2.9,Ml
26 km al SE de TirÃºa,-38.553 ,-73.362,2023-07-20,14:30:49,2023-07-20,18:30:49,33,km,3.6,Ml
12 km al O de Mina Collahuasi,-20.830 ,-68.777,2023-07-20,13:19:56,2023-07-20,17:19:56,110,km,3.6,Ml
54 km al E de Quillagua,-21.810 ,-69.040,2023-07-20,12:47:15,2023-07-20,16:47:15,87,km,3.6,Ml
15 km al NO de Punitaqui,-30.707 ,-71.309,2023-07-20,10:34:16,2023-07-20,14:34:16,52,km,3.0,Ml
45 km al SO de OllagÃ¼e,-21.543 ,-68.525,2023-07-20,09:04:24,2023-07-20,13:04:24,147,km,3.9,Ml
31 km al E de Pica,-20.437 ,-69.042,2023-07-20,06:23:54,2023-07-20,10:23:54,103,km,2.8,Ml
82 km al NE de San Pedro de Atacama,-22.370 ,-67.669,2023-07-20,06:06:00,2023-07-20,10:06:00,189,km,2.7,Ml
86 km al SE de Socaire,-24.021 ,-67.187,2023-07-20,04:46:25,2023-07-20,08:46:25,225,km,3.3,Ml
61 km al O de Tongoy,-30.417 ,-72.105,2023-07-20,02:48:31,2023-07-20,06:48:31,39,km,2.5,Ml
110 km al E de Tierra Amarilla,-27.356 ,-69.160,2023-07-20,02:21:50,2023-07-20,06:21:50,92,km,2.5,Ml
42 km al N de Quillagua,-21.302 ,-69.662,2023-07-20,01:21:46,2023-07-20,05:21:46,61,km,3.2,Ml
54 km al SO de Mina Collahuasi,-21.262 ,-68.896,2023-07-20,00:26:32,2023-07-20,04:26:32,107,km,2.7,Ml
15 km al O de Andacollo,-30.185 ,-71.235,2023-07-19,23:36:25,2023-07-20,03:36:25,56,km,2.5,Ml
50 km al SO de Los Vilos,-32.277 ,-71.821,2023-07-19,23:29:55,2023-07-20,03:29:55,15,km,3.1,Ml
87 km al SE de Socaire,-23.930 ,-67.117,2023-07-19,22:38:12,2023-07-20,02:38:12,191,km,3.5,Ml
36 km al S de Tierra Amarilla,-27.807 ,-70.233,2023-07-19,21:55:40,2023-07-20,01:55:40,99,km,2.8,Ml
100 km al NE de San Pedro de Atacama,-22.132 ,-67.736,2023-07-19,20:49:53,2023-07-20,00:49:53,193,km,4.3,Mw
