evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
30 km al SO de Pichidangui,-32.385 ,-71.658,2024-06-20,19:20:43,2024-06-20,23:20:43,50,km,3.4,Ml
87 km al E de CopiapÃ³,-27.627 ,-69.504,2024-06-20,18:16:31,2024-06-20,22:16:31,112,km,3.5,Ml
54 km al S de CamiÃ±a,-19.774 ,-69.250,2024-06-20,17:48:31,2024-06-20,21:48:31,95,km,3.9,Ml
41 km al NE de Calama,-22.150 ,-68.728,2024-06-20,15:54:13,2024-06-20,19:54:13,121,km,2.9,Ml
91 km al SE de Socaire,-24.299 ,-67.442,2024-06-20,15:47:29,2024-06-20,19:47:29,190,km,4.5,Mw
42 km al S de Mina Collahuasi,-21.197 ,-68.733,2024-06-20,14:29:29,2024-06-20,18:29:29,111,km,2.9,Ml
37 km al SO de Cobquecura,-36.390 ,-73.054,2024-06-20,14:15:34,2024-06-20,18:15:34,38,km,2.8,Ml
39 km al SE de Socaire,-23.836 ,-67.618,2024-06-20,07:28:39,2024-06-20,11:28:39,265,km,3.2,Ml
26 km al NE de Punta de Choros,-29.088 ,-71.280,2024-06-20,07:00:48,2024-06-20,11:00:48,50,km,2.6,Ml
23 km al O de Mina Collahuasi,-20.829 ,-68.878,2024-06-20,04:50:55,2024-06-20,08:50:55,108,km,3.0,Ml
24 km al E de Baquedano,-23.326 ,-69.605,2024-06-20,04:39:43,2024-06-20,08:39:43,96,km,2.9,Ml
4 km al S de Tongoy,-30.287 ,-71.493,2024-06-20,02:39:18,2024-06-20,06:39:18,52,km,4.4,Ml
14 km al E de Patache,-20.764 ,-70.079,2024-06-20,01:33:35,2024-06-20,05:33:35,84,km,3.4,Ml
73 km al O de San Antonio de los Cobres,-24.027 ,-67.003,2024-06-20,00:56:35,2024-06-20,04:56:35,229,km,2.9,Ml
67 km al S de Socaire,-24.159 ,-67.683,2024-06-20,00:54:59,2024-06-20,04:54:59,234,km,3.3,Ml
24 km al O de Linares,-35.796 ,-71.860,2024-06-19,20:52:00,2024-06-20,00:52:00,81,km,2.9,Ml
29 km al O de Quintero,-32.771 ,-71.832,2024-06-19,20:01:54,2024-06-20,00:01:54,20,km,3.3,Ml
