evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
27 km al N de Tocopilla,-21.856 ,-70.185,2023-08-03,19:21:23,2023-08-03,23:21:23,42,km,2.5,Ml
44 km al SO de OllagÃ¼e,-21.565 ,-68.474,2023-08-03,17:53:52,2023-08-03,21:53:52,126,km,3.0,Ml
30 km al S de CamiÃ±a,-19.571 ,-69.336,2023-08-03,09:57:58,2023-08-03,13:57:58,117,km,2.8,Ml
64 km al NE de Calama,-21.937 ,-68.690,2023-08-03,09:11:44,2023-08-03,13:11:44,116,km,3.2,Ml
80 km al E de Socaire,-23.797 ,-67.138,2023-08-03,05:50:06,2023-08-03,09:50:06,240,km,3.8,Ml
23 km al SO de Canela Baja,-31.572 ,-71.593,2023-08-03,05:16:19,2023-08-03,09:16:19,43,km,2.6,Ml
32 km al SO de Canela Baja,-31.633 ,-71.659,2023-08-03,05:07:17,2023-08-03,09:07:17,42,km,4.4,Ml
20 km al E de Los Andes.,-32.840 ,-70.386,2023-08-03,01:06:48,2023-08-03,05:06:48,106,km,2.8,Ml
142 km al NO de Tocopilla,-21.376 ,-71.341,2023-08-03,00:47:37,2023-08-03,04:47:37,10,km,2.7,Ml
37 km al SO de Fresia,-41.439 ,-73.658,2023-08-02,23:24:40,2023-08-03,03:24:40,46,km,3.7,Ml
40 km al NO de Mina Collahuasi,-20.549 ,-68.901,2023-08-02,21:37:51,2023-08-03,01:37:51,131,km,2.5,Ml
