evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
67 km al SO de OllagÃ¼e,-21.732 ,-68.597,2023-08-27,17:34:18,2023-08-27,21:34:18,118,km,2.5,Ml
13 km al O de Andacollo,-30.230 ,-71.220,2023-08-27,16:47:12,2023-08-27,20:47:12,57,km,3.9,Ml
29 km al NE de Ralco,-37.722 ,-71.384,2023-08-27,15:14:18,2023-08-27,19:14:18,146,km,2.9,Ml
54 km al N de Quillagua,-21.178 ,-69.630,2023-08-27,12:15:24,2023-08-27,16:15:24,18,km,2.8,Ml
97 km al O de Puerto EdÃ©n,-49.119 ,-75.740,2023-08-27,10:47:18,2023-08-27,14:47:18,26,km,4.0,Ml
20 km al S de OllagÃ¼e,-21.396 ,-68.320,2023-08-27,08:45:24,2023-08-27,12:45:24,126,km,3.3,Ml
43 km al O de VichuquÃ©n,-34.729 ,-72.424,2023-08-27,08:11:08,2023-08-27,12:11:08,14,km,2.9,Ml
13 km al O de Caldera,-27.039 ,-70.954,2023-08-27,05:56:56,2023-08-27,09:56:56,47,km,2.6,Ml
73 km al SO de OllagÃ¼e,-21.792 ,-68.608,2023-08-27,05:49:41,2023-08-27,09:49:41,122,km,2.8,Ml
112 km al SE de Socaire,-24.415 ,-67.251,2023-08-27,04:31:45,2023-08-27,08:31:45,170,km,3.3,Ml
84 km al O de Arica,-18.566 ,-71.114,2023-08-27,04:27:32,2023-08-27,08:27:32,21,km,3.4,Ml
53 km al N de Pica,-20.024 ,-69.211,2023-08-27,03:06:24,2023-08-27,07:06:24,90,km,2.6,Ml
9 km al S de Taltal,-25.483 ,-70.503,2023-08-27,00:11:44,2023-08-27,04:11:44,40,km,2.6,Ml
59 km al SE de Socaire,-24.000 ,-67.521,2023-08-27,00:01:22,2023-08-27,04:01:22,236,km,3.1,Ml
45 km al S de CamiÃ±a,-19.711 ,-69.371,2023-08-26,23:40:07,2023-08-27,03:40:07,108,km,2.5,Ml
35 km al S de Los Vilos,-32.228 ,-71.514,2023-08-26,23:23:15,2023-08-27,03:23:15,59,km,3.0,Ml
15 km al S de Farellones,-33.483 ,-70.285,2023-08-26,22:52:41,2023-08-27,02:52:41,115,km,3.6,Ml
72 km al SE de Sierra Gorda.,-23.419 ,-68.888,2023-08-26,21:32:23,2023-08-27,01:32:23,110,km,3.4,Ml
92 km al NE de Taltal,-24.755 ,-69.919,2023-08-26,21:02:11,2023-08-27,01:02:11,65,km,3.4,Ml
