evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
17 km al N de CuricÃ³,-34.834 ,-71.272,2023-03-24,18:58:09,2023-03-24,21:58:09,90,km,2.6,Ml
26 km al O de Canela Baja,-31.497 ,-71.711,2023-03-24,16:59:40,2023-03-24,19:59:40,30,km,2.7,Ml
19 km al SE de Tocopilla,-22.212 ,-70.073,2023-03-24,16:49:52,2023-03-24,19:49:52,32,km,2.9,Ml
199 km al O de TirÃºa,-38.350 ,-75.775,2023-03-24,15:46:37,2023-03-24,18:46:37,19,km,3.3,Ml
40 km al NE de Calama,-22.222 ,-68.647,2023-03-24,14:48:39,2023-03-24,17:48:39,119,km,2.7,Ml
13 km al E de La Serena,-29.949 ,-71.126,2023-03-24,13:38:01,2023-03-24,16:38:01,96,km,3.3,Ml
26 km al NE de Calama,-22.360 ,-68.708,2023-03-24,12:14:11,2023-03-24,15:14:11,115,km,2.7,Ml
48 km al E de Los Andes.,-32.858 ,-70.080,2023-03-24,10:58:40,2023-03-24,13:58:40,124,km,3.4,Ml
45 km al O de OllagÃ¼e,-21.352 ,-68.664,2023-03-24,10:10:25,2023-03-24,13:10:25,121,km,2.7,Ml
72 km al SO de OllagÃ¼e,-21.823 ,-68.517,2023-03-24,09:03:18,2023-03-24,12:03:18,106,km,2.7,Ml
71 km al E de Alto del Carmen,-28.744 ,-69.759,2023-03-24,09:00:05,2023-03-24,12:00:05,120,km,3.0,Ml
81 km al SE de Socaire,-24.220 ,-67.481,2023-03-24,08:29:48,2023-03-24,11:29:48,211,km,3.8,Ml
10 km al E de Putre,-18.174 ,-69.466,2023-03-24,07:59:47,2023-03-24,10:59:47,132,km,3.4,Ml
66 km al N de Calama,-21.909 ,-68.729,2023-03-24,04:28:50,2023-03-24,07:28:50,112,km,2.7,Ml
22 km al S de La Serena,-30.094 ,-71.322,2023-03-24,03:13:24,2023-03-24,06:13:24,67,km,4.1,Ml
71 km al SE de Socaire,-23.973 ,-67.336,2023-03-23,22:27:42,2023-03-24,01:27:42,247,km,3.6,Ml
46 km al SO de OllagÃ¼e,-21.542 ,-68.538,2023-03-23,21:20:13,2023-03-24,00:20:13,140,km,2.9,Ml
53 km al O de Socaire,-23.400 ,-68.368,2023-03-23,21:12:02,2023-03-24,00:12:02,124,km,3.6,Ml
