evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
21 km al O de Navidad,-33.876 ,-72.040,2024-05-11,19:50:05,2024-05-11,23:50:05,33,km,2.6,Ml
26 km al NO de Mina Collahuasi,-20.727 ,-68.884,2024-05-11,19:28:23,2024-05-11,23:28:23,108,km,2.7,Ml
59 km al NO de La Higuera,-29.230 ,-71.720,2024-05-11,18:45:33,2024-05-11,22:45:33,40,km,3.4,Ml
21 km al E de Las Cabras,-34.308 ,-71.078,2024-05-11,18:12:14,2024-05-11,22:12:14,80,km,2.9,Ml
7 km al E de Caldera,-27.055 ,-70.756,2024-05-11,16:20:57,2024-05-11,20:20:57,42,km,3.3,Ml
29 km al NE de Calama,-22.243 ,-68.787,2024-05-11,12:53:44,2024-05-11,16:53:44,96,km,3.3,Ml
46 km al NO de ValparaÃ­so,-32.668 ,-71.816,2024-05-11,12:35:25,2024-05-11,16:35:25,27,km,2.9,Ml
75 km al SO de OllagÃ¼e,-21.712 ,-68.751,2024-05-11,11:02:22,2024-05-11,15:02:22,107,km,3.2,Ml
28 km al E de Mina Los Pelambres,-31.843 ,-70.288,2024-05-11,09:40:35,2024-05-11,13:40:35,129,km,3.4,Ml
46 km al NO de ValparaÃ­so,-32.666 ,-71.809,2024-05-11,08:33:26,2024-05-11,12:33:26,28,km,2.7,Ml
25 km al O de Visviri,-17.678 ,-69.700,2024-05-11,07:36:02,2024-05-11,11:36:02,169,km,3.1,Ml
25 km al O de Visviri,-17.598 ,-69.721,2024-05-11,07:10:36,2024-05-11,11:10:36,173,km,3.3,Ml
63 km al SO de OllagÃ¼e,-21.745 ,-68.494,2024-05-11,07:01:58,2024-05-11,11:01:58,114,km,2.5,Ml
46 km al NO de ValparaÃ­so,-32.665 ,-71.808,2024-05-11,06:58:04,2024-05-11,10:58:04,35,km,4.1,Ml
46 km al SO de Los Vilos,-32.264 ,-71.771,2024-05-11,05:47:52,2024-05-11,09:47:52,24,km,3.1,Ml
99 km al NE de Socaire,-22.991 ,-67.175,2024-05-11,04:28:11,2024-05-11,08:28:11,232,km,3.3,Ml
36 km al N de Tocopilla,-21.786 ,-70.312,2024-05-11,02:51:50,2024-05-11,06:51:50,39,km,3.2,Ml
88 km al SE de Socaire,-24.195 ,-67.327,2024-05-11,02:47:03,2024-05-11,06:47:03,231,km,3.6,Ml
50 km al S de Mina Collahuasi,-21.266 ,-68.765,2024-05-11,01:19:10,2024-05-11,05:19:10,117,km,3.0,Ml
38 km al S de Mina Collahuasi,-21.169 ,-68.660,2024-05-11,01:02:04,2024-05-11,05:02:04,120,km,3.1,Ml
47 km al SE de Baquedano,-23.636 ,-69.513,2024-05-11,00:07:12,2024-05-11,04:07:12,61,km,2.3,Mlv
47 km al O de Canela Baja,-31.511 ,-71.932,2024-05-10,23:32:46,2024-05-11,03:32:46,34,km,3.1,Ml
46 km al O de Canela Baja,-31.526 ,-71.917,2024-05-10,23:29:42,2024-05-11,03:29:42,20,km,3.0,Ml
29 km al SE de Cuya,-19.357 ,-69.999,2024-05-10,22:47:22,2024-05-11,02:47:22,23,km,2.9,Ml
143 km al SE de Mina La Escondida.,-24.987 ,-67.881,2024-05-10,20:33:43,2024-05-11,00:33:43,151,km,3.6,Ml
12 km al NE de La Higuera,-29.416 ,-71.141,2024-05-10,20:33:01,2024-05-11,00:33:01,57,km,2.7,Ml
89 km al E de Socaire,-23.516 ,-67.023,2024-05-10,20:31:45,2024-05-11,00:31:45,259,km,3.6,Ml
