evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al SO de Mina Collahuasi,-21.120 ,-68.851,2024-05-12,17:57:50,2024-05-12,21:57:50,115,km,2.5,Ml
104 km al NO de Huasco,-27.789 ,-71.952,2024-05-12,17:33:58,2024-05-12,21:33:58,35,km,4.0,Ml
52 km al NE de Cuya,-18.777 ,-69.903,2024-05-12,17:27:33,2024-05-12,21:27:33,78,km,3.3,Ml
21 km al SE de Baquedano,-23.472 ,-69.696,2024-05-12,16:31:22,2024-05-12,20:31:22,70,km,3.8,Ml
31 km al NE de Calama,-22.285 ,-68.700,2024-05-12,14:46:46,2024-05-12,18:46:46,116,km,2.7,Ml
42 km al E de Visviri,-17.666 ,-69.089,2024-05-12,13:23:08,2024-05-12,17:23:08,197,km,3.9,Ml
30 km al E de Rancagua,-34.110 ,-70.416,2024-05-12,10:55:26,2024-05-12,14:55:26,123,km,2.7,Ml
28 km al NO de Quillagua,-21.500 ,-69.748,2024-05-12,10:04:56,2024-05-12,14:04:56,33,km,2.5,Ml
41 km al SE de Rancagua,-34.435 ,-70.438,2024-05-12,09:39:07,2024-05-12,13:39:07,123,km,3.0,Ml
73 km al SO de OllagÃ¼e,-21.806 ,-68.579,2024-05-12,08:20:34,2024-05-12,12:20:34,116,km,2.5,Ml
20 km al O de OllagÃ¼e,-21.267 ,-68.437,2024-05-12,05:02:40,2024-05-12,09:02:40,128,km,3.0,Ml
90 km al O de Tortel,-47.431 ,-74.598,2024-05-12,01:35:57,2024-05-12,05:35:57,23,km,2.5,Ml
45 km al O de OllagÃ¼e,-21.348 ,-68.672,2024-05-12,00:40:16,2024-05-12,04:40:16,123,km,2.6,Ml
19 km al O de Sierra Gorda.,-22.849 ,-69.490,2024-05-11,22:54:31,2024-05-12,02:54:31,74,km,2.8,Ml
