evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
29 km al SE de ChillÃ¡n,-36.810 ,-71.905,2023-06-14,19:18:55,2023-06-14,23:18:55,80,km,2.5,Ml
19 km al S de CuricÃ³,-35.154 ,-71.245,2023-06-14,19:14:01,2023-06-14,23:14:01,86,km,2.5,Ml
50 km al SO de Mina Collahuasi,-21.241 ,-68.845,2023-06-14,18:51:44,2023-06-14,22:51:44,113,km,3.1,Ml
16 km al O de Huasco,-28.514 ,-71.380,2023-06-14,15:52:12,2023-06-14,19:52:12,26,km,2.7,Ml
101 km al NE de San Pedro de Atacama,-22.162 ,-67.658,2023-06-14,15:23:07,2023-06-14,19:23:07,210,km,2.7,Ml
27 km al N de Los Vilos,-31.678 ,-71.591,2023-06-14,15:18:24,2023-06-14,19:18:24,40,km,3.3,Ml
62 km al NO de Cobquecura,-35.733 ,-73.282,2023-06-14,15:15:09,2023-06-14,19:15:09,29,km,2.9,Ml
34 km al E de CamiÃ±a,-19.247 ,-69.110,2023-06-14,14:25:05,2023-06-14,18:25:05,119,km,3.4,Ml
59 km al S de Mina Collahuasi,-21.333 ,-68.817,2023-06-14,13:41:07,2023-06-14,17:41:07,120,km,3.6,Ml
54 km al SO de Mina Collahuasi,-21.210 ,-68.978,2023-06-14,13:32:42,2023-06-14,17:32:42,95,km,2.9,Ml
53 km al SO de OllagÃ¼e,-21.657 ,-68.474,2023-06-14,13:16:00,2023-06-14,17:16:00,104,km,2.5,M
79 km al SE de Paihuano,-30.602 ,-70.031,2023-06-14,13:05:36,2023-06-14,17:05:36,134,km,2.5,Ml
53 km al NO de Cobquecura,-35.812 ,-73.233,2023-06-14,11:29:41,2023-06-14,15:29:41,30,km,3.7,Ml
42 km al O de OllagÃ¼e,-21.329 ,-68.643,2023-06-14,11:02:46,2023-06-14,15:02:46,98,km,2.9,Ml
50 km al SO de OllagÃ¼e,-21.580 ,-68.552,2023-06-14,10:52:29,2023-06-14,14:52:29,135,km,2.8,Ml
29 km al E de Calama,-22.406 ,-68.660,2023-06-14,07:58:39,2023-06-14,11:58:39,108,km,3.0,Ml
57 km al SO de OllagÃ¼e,-21.558 ,-68.667,2023-06-14,07:11:45,2023-06-14,11:11:45,112,km,3.1,Ml
57 km al NO de Mejillones,-22.662 ,-70.731,2023-06-14,06:56:09,2023-06-14,10:56:09,39,km,2.8,Ml
21 km al N de Mejillones,-22.914 ,-70.463,2023-06-14,05:27:10,2023-06-14,09:27:10,42,km,2.9,Ml
57 km al NO de Cobquecura,-35.781 ,-73.258,2023-06-14,03:28:37,2023-06-14,07:28:37,35,km,3.9,Ml
62 km al SO de Alto Hospicio,-20.643 ,-70.538,2023-06-14,03:20:18,2023-06-14,07:20:18,42,km,3.0,Ml
61 km al NO de Cobquecura,-35.752 ,-73.278,2023-06-14,01:38:30,2023-06-14,05:38:30,34,km,3.9,Ml
63 km al NO de Cobquecura,-35.754 ,-73.314,2023-06-14,01:28:44,2023-06-14,05:28:44,32,km,3.8,Ml
16 km al S de Calama,-22.605 ,-68.982,2023-06-13,23:32:34,2023-06-14,03:32:34,107,km,3.0,Ml
11 km al O de Huasco,-28.485 ,-71.335,2023-06-13,22:14:45,2023-06-14,02:14:45,32,km,2.9,Ml
22 km al O de Calama,-22.546 ,-69.126,2023-06-13,22:11:58,2023-06-14,02:11:58,91,km,3.5,Ml
50 km al SO de Caldera,-27.472 ,-71.054,2023-06-13,21:09:56,2023-06-14,01:09:56,55,km,3.1,Ml
21 km al N de Colina,-33.015 ,-70.676,2023-06-13,20:10:28,2023-06-14,00:10:28,130,km,2.9,Ml
