evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
28 km al NE de VichuquÃ©n,-34.730 ,-71.753,2024-03-06,17:33:48,2024-03-06,20:33:48,30,km,2.7,Ml
31 km al O de La Serena,-29.850 ,-71.570,2024-03-06,15:27:13,2024-03-06,18:27:13,38,km,3.4,Ml
35 km al O de Mina Collahuasi,-20.831 ,-68.997,2024-03-06,14:27:45,2024-03-06,17:27:45,104,km,2.8,Ml
39 km al SO de Mina Collahuasi,-21.089 ,-68.903,2024-03-06,12:43:47,2024-03-06,15:43:47,113,km,3.1,Ml
52 km al SO de OllagÃ¼e,-21.651 ,-68.468,2024-03-06,08:23:07,2024-03-06,11:23:07,135,km,3.1,Ml
40 km al S de Mina Collahuasi,-21.184 ,-68.687,2024-03-06,08:10:22,2024-03-06,11:10:22,121,km,4.0,Ml
111 km al NE de Socaire,-23.037 ,-66.979,2024-03-06,07:58:14,2024-03-06,10:58:14,266,km,3.7,Ml
27 km al SE de Talca,-35.554 ,-71.408,2024-03-06,07:44:46,2024-03-06,10:44:46,99,km,3.5,Ml
46 km al E de Sierra Gorda.,-23.052 ,-68.902,2024-03-06,07:12:57,2024-03-06,10:12:57,96,km,3.2,Ml
54 km al O de Tongoy,-30.347 ,-72.052,2024-03-06,07:04:21,2024-03-06,10:04:21,35,km,2.5,Ml
14 km al SO de La Serena,-29.992 ,-71.347,2024-03-06,06:05:52,2024-03-06,09:05:52,77,km,4.0,Ml
68 km al S de Alto Hospicio,-20.875 ,-70.068,2024-03-06,05:05:47,2024-03-06,08:05:47,75,km,2.6,Ml
28 km al S de Los Vilos,-32.152 ,-71.439,2024-03-06,03:48:30,2024-03-06,06:48:30,49,km,2.8,Ml
34 km al SO de Mina Collahuasi,-21.092 ,-68.816,2024-03-06,01:36:52,2024-03-06,04:36:52,127,km,2.7,Ml
107 km al SE de Socaire,-24.433 ,-67.389,2024-03-06,00:58:08,2024-03-06,03:58:08,192,km,4.1,Ml
30 km al E de Pica,-20.433 ,-69.051,2024-03-05,21:26:06,2024-03-06,00:26:06,98,km,2.8,Ml
